amenity	cuisine	takeaway	name	brand
fast_food	asian		Angkor Fast Food	
fast_food	asian		Ani's Kitchen	
fast_food	asian		Asia Bay	
fast_food	asian		Asiabox	
fast_food	asian		Asia Express	
fast_food	asian		Asia Food	
fast_food	asian		Asian Bowl	
fast_food	asian		Asian Express	
fast_food	asian		Asian Food Khmer	
fast_food	asian		Asian House	
fast_food	asian		Asian Tasty	
fast_food	asian		Asian wen's food	
fast_food	asian		Asian Yummy	
fast_food	asian		Asie House	
fast_food	asian		Asie Prestige	
fast_food	asian		Asie Snack	
fast_food	asian		Asie Wok	
fast_food	asian		Au Comptoir d'Asie	
fast_food	asian		Au Phénix d'Or	
fast_food	asian		Aux Délices d'Alésia	
fast_food	asian		Aux Délices d'Asie	
fast_food	asian		Aux Délices de Clichy	
fast_food	asian		Aux Délices de Grenelle	
fast_food	asian;bagel;breakfast;burger;cake;coffee_shop;donut		Céno Café	
fast_food	asian		BamBoo	
fast_food	asian		Bambou	
fast_food	asian		BAO BURGER	
fast_food	asian		Bao House	
fast_food	asian		Belle Asie	
fast_food	asian		Bento	
fast_food	asian		Bento 9	
fast_food	asian		Best Tofu	
fast_food	asian		Bobo Snack	
fast_food	asian		Bò-bún gourmand	
fast_food	asian		Bon'App	
fast_food	asian		Bon Appétit	
fast_food	asian		Bonheur	
fast_food	asian		Bonheur d'Asie	
fast_food	asian		Botna Thaï&Sushis	
fast_food	asian		Bubble Sweet	
fast_food	asian;bubble_tea		Bubble Noodle	
fast_food	asian;bubble_tea;chinese		Kongfu Pâte	
fast_food	asian;bubble_tea		Petite Cantine	
fast_food	asian;bubble_tea		PokeGo	
fast_food	asian;bubble_tea		Popot'	
fast_food	asian;bubble_tea		Youpi Tea'M	
fast_food	asian;burger;chicken	only	Villeurbanne Food Club	
fast_food	asian;burger		Gomu	
fast_food	asian;burger		Little Baobei	
fast_food	asian;burger		Rice Noodle	
fast_food	asian;burger		Tao	
fast_food	asian;burger	yes	Little Baobei	
fast_food	asian		C'bon d'Asie	
fast_food	asian		Cheng Délice	
fast_food	asian		Chez Ann	
fast_food	asian		Chez Lin	
fast_food	asian		Chez Luc	
fast_food	asian		Chez Sushi Hokkaido	
fast_food	asian		Chez Tata	
fast_food	asian		Chez Vay	
fast_food	asian		Chez Yang	
fast_food	asian;chinese;japanese;sushi;thai	only	Les Douceurs de l'Opium	
fast_food	asian;chinese;japanese;thai;vietnamese		Little Asia Anglet	
fast_food	asian		Chopstix	
fast_food	asian		Cinq Bonheurs	
fast_food	asian		C' Trop Bún	
fast_food	asian		Darasie	
fast_food	asian		Délice d'Asie	
fast_food	asian		Délice du Molinel	
fast_food	asian		Délice Impérial	
fast_food	asian		Delice Kyoya	
fast_food	asian		Délices 17ème	
fast_food	asian		Délices 9ème	
fast_food	asian		Délices d'Asie	
fast_food	asian		Délices d'Asie	
fast_food	asian		Délices d'Asie	
fast_food	asian		Délices d'Asie	
fast_food	asian		Délices de Billancourt	
fast_food	asian		Délices de Boulogne	
fast_food	asian		Délices de Colombes	
fast_food	asian		Délices de Pantin	
fast_food	asian		Dragon Miam Miam	
fast_food	asian		Ducky's	
fast_food	asian		Etoile	
fast_food	asian		Eurasie	
fast_food	asian		Exo Exquis	
fast_food	asian;fast_food	yes	Yatta Bento	
fast_food	asian		Feuille d'Or	
fast_food	asian		Food Truck Lungta Street Tibétain	
fast_food	asian		FreshBox	
fast_food	asian		Fresh In Grenoble - Asian Street Food	
fast_food	asian		Fu Lai Xi	
fast_food	asian;fusion		Planète Food	
fast_food	asian		Gang Nam	
fast_food	asian		General Tom Kha	
fast_food	asian		Gourmet	
fast_food	asian		Gourmet d'Alésia	
fast_food	asian		Gourmet d'Asie	
fast_food	asian		Gourmet d'Asie	
fast_food	asian		Gourmets Coupole	
fast_food	asian		Goüt de la Maison	
fast_food	asian		HAO HAO CHI Traiteur Asiatique	
fast_food	asian;hawaiian	yes	Poki Poki	
fast_food	asian		HK Thaï	
fast_food	asian		Hong Kong	
fast_food	asian;indian;fusion		Kawok	
fast_food	asian;indian;fusion	yes	Kawok	Kawok
fast_food	asian		Instant Bubble	
fast_food	asian;japanese		Bento Shop and Go	
fast_food	asian;japanese		Frères Sushi	
fast_food	asian;japanese;noodles		Bonopandas	
fast_food	asian;japanese;noodles;sushi		AKAT Sushi	
fast_food	asian;japanese	only	Daruma Deli	
fast_food	asian;japanese;poke		O'Shiso Shop	
fast_food	asian		Jin	
fast_food	asian		K and JI	
fast_food	asian;kebab		Wokantine	
fast_food	asian		Ken Bubble	
fast_food	asian		Koï Bowl	
fast_food	asian;korean		UFO B&N'S	
fast_food	asian;korean	yes	Jasmin Kuacan	
fast_food	asian		Krousty Sabaïdi	
fast_food	asian		K & S	
fast_food	asian		La Baguette Impériale	
fast_food	asian		Lady Sushi	
fast_food	asian		Lagon 92	
fast_food	asian		La grande muraille	
fast_food	asian		La Maison du Phénix	
fast_food	asian		L'Ambrasie	
fast_food	asian		Lanta Wok	
fast_food	asian		LantaWok	
fast_food	asian		Le Bon Palais	
fast_food	asian		Le Cambodge	
fast_food	asian		Le Cheval d'Or	
fast_food	asian		Le Délice de Vaugirard	
fast_food	asian		Le Dragon d'Or	
fast_food	asian		Le Gourmet de Boulogne	
fast_food	asian		Le Jardin de Xu	
fast_food	asian		Le Lotus	
fast_food	asian		Le Mandarin Provence	
fast_food	asian		Le Mékong	
fast_food	asian		Le Palais des Délices	
fast_food	asian		Le pot chinois	
fast_food	asian		Le Royal Boulogne	
fast_food	asian		Le Royal d'Asie	
fast_food	asian		Le saïgonais	
fast_food	asian		Le Soleil d'Oberkampf	
fast_food	asian		L'Eurasie	
fast_food	asian		Lim sept	
fast_food	asian		Lin Délices	
fast_food	asian		Lin Fat	
fast_food	asian		Liu He Jia	
fast_food	asian;local;noodles;oriental		La bonne bouffe - traiteur	
fast_food	asian		Loké	
fast_food	asian		Lotus	
fast_food	asian		Maison Le Yin	
fast_food	asian		Maison Ly	
fast_food	asian		Maitre Panda	
fast_food	asian		Makasi - Asian Street Food & Salad Bar	
fast_food	asian		Mây Kitchen	
fast_food	asian		MI-AM	
fast_food	asian		Miao Xiang Ge	
fast_food	asian		Montendre Asie	
fast_food	asian		MOTHAIBAYO	
fast_food	asian		Mowok	
fast_food	asian		My Wok	
fast_food	asian		Nang Loan	
fast_food	asian		Neuf Dragons	
fast_food	asian		New Gourmand	
fast_food	asian		New Impérial Monceau	
fast_food	asian		New Luxembourg	
fast_food	asian		N'Guyen	
fast_food	asian		Noli	
fast_food	asian		Nongkhane	
fast_food	asian		Nongkhane Asie	
fast_food	asian;noodle		Noodle Food	
fast_food	asian		O Food Asia	
fast_food	asian		Olive Chicken	
fast_food	asian	only	55 Tocqueville Express	
fast_food	asian	only	An Siv	
fast_food	asian	only	Apsara	
fast_food	asian	only	Asie Ye	
fast_food	asian	only	Aux Bons Nems	
fast_food	asian	only	Bai Wei	
fast_food	asian	only	Bambou Délice	
fast_food	asian	only	C'Bobun	
fast_food	asian	only	Délices d'Asie	
fast_food	asian	only	Délices des milles saveurs	
fast_food	asian	only	Krousty	
fast_food	asian	only	Le bon chinois	
fast_food	asian	only	Le Lotus d’Or	
fast_food	asian	only	My Little Warung	
fast_food	asian	only	Ngoun-Heng	
fast_food	asian	only	Shun Li	
fast_food	asian	only	Sushi d'Asie	
fast_food	asian	only	Traiteur Asiatique	
fast_food	asian	only	Traiteur Ben Long	
fast_food	asian		Opla	
fast_food	asian		Original Wok	
fast_food	asian		O'sasuke	
fast_food	asian		Palais Banh-Bao	
fast_food	asian		Palais Cristal	
fast_food	asian		Panda Délice	
fast_food	asian		Pâtes Thai	
fast_food	asian		Pekin City	
fast_food	asian		Perle de Chine	
fast_food	asian		Phénix d'asie - La Grande Poêle	
fast_food	asian;pizza		Pako bowl	
fast_food	asian		Pokébol	
fast_food	asian		Poké Shop	
fast_food	asian		Poke Sushi-Bowl	
fast_food	asian		Poké Woké	
fast_food	asian;poké	yes	Pokitime	
fast_food	asian		Pouss pouss	
fast_food	asian		Powok	
fast_food	asian		Refant	
fast_food	asian		Relais d'Asie	
fast_food	asian		Ren Lin	
fast_food	asian		R-nem	
fast_food	asian		Rooroo	
fast_food	asian		Saigon NGO	
fast_food	asian		Samaki	
fast_food	asian;sandwich	yes	Tuktuk	
fast_food	asian		Santosha	
fast_food	asian		Saveurs d'Asie	
fast_food	asian		Saveurs d'Asie	
fast_food	asian		Saveurs d'Asie	
fast_food	asian		Saveurs d'Asie	
fast_food	asian		Senzu	
fast_food	asian		Shanghaï	
fast_food	asian		Shanghai express	
fast_food	asian		Shanghai Osaka	
fast_food	asian		Smile House	
fast_food	asian		Sorya	
fast_food	asian		Street Wok	
fast_food	asian;sushi		Asie Express	
fast_food	asian		Sushi Étoile	
fast_food	asian;sushi		Godo	
fast_food	asian;sushi		Sushiside Corner	
fast_food	asian;sushi		Zen asia	
fast_food	asian		Tang, Hu & Lu	
fast_food	asian;thai		Cookame	
fast_food	asian		Thaï Food	
fast_food	asian		Thaï nour	
fast_food	asian		Thaï-One	
fast_food	asian;thai	yes	My Little Wok	
fast_food	asian		The Cup	
fast_food	asian		Thé Vert	
fast_food	asian		Tia Gourmet	
fast_food	asian		Tommeo	
fast_food	asian		Traiteur asiatique	
fast_food	asian		Traiteur Asiatique	
fast_food	asian		Traiteur Asiatique	
fast_food	asian		Traiteur Asiatique	
fast_food	asian		Traiteur Asiatique	
fast_food	asian		Traiteur Cheng Feng	
fast_food	asian		Traiteur Chez Victor	
fast_food	asian		Traiteur chinois	
fast_food	asian		Traiteur Litchi	
fast_food	asian		Traiteur Liu	
fast_food	asian		Traiteur Shanghaï	
fast_food	asian		Traiteur sino-japonais	
fast_food	asian		Traiteur Yutun	
fast_food	asian;vietnamese		Asie Express	
fast_food	asian;vietnamese		Bouddha Gourmand	
fast_food	asian;vietnamese	yes	Addictea Cafe	
fast_food	asian;vietnamese	yes	Chez Vinh Express	
fast_food	asian;vietnamese	yes	Le Mekong	
fast_food	asian;vietnamese	yes	O Bobun	
fast_food	asian		Viet-Viet	
fast_food	asian		What's your nem ?	
fast_food	asian		WOK.39	
fast_food	asian		Wokaï	
fast_food	asian		Wokway	
fast_food	asian		Xia's Fast Food	
fast_food	asian		Xinglong	
fast_food	asian		Ya Da	
fast_food	asian	yes	Allo Asia	
fast_food	asian	yes	Angko	
fast_food	asian	yes	Aroy Dee	
fast_food	asian	yes	Asean's Food	
fast_food	asian	yes	Asia Story	
fast_food	asian	yes	Au Rendez-vous Royal	
fast_food	asian	yes	Aux délices de Bercy	
fast_food	asian	yes	Aux Gourmets d'Asie	
fast_food	asian	yes	Aux Gourmets d'Asie	
fast_food	asian	yes	Aux Gourmets de Hong Kong	
fast_food	asian	yes	Aux Goûts d'Asie	
fast_food	asian	yes	B-east	
fast_food	asian	yes	Bien Dong	
fast_food	asian	yes	Bonjour Bon Jus	
fast_food	asian	yes	Chez Banoï - Wok & Sushi	
fast_food	asian	yes	Chez Duong	
fast_food	asian	yes	Chez Tong	
fast_food	asian	yes	Côté Sushi	Côté Sushi
fast_food	asian	yes	Delice Asia	
fast_food	asian	yes	Délices 15e	
fast_food	asian	yes	Express Saveurs d'Asie	
fast_food	asian	yes	Fa Fa	
fast_food	asian	yes	Just in Thaĩ	
fast_food	asian	yes	KAWOK	
fast_food	asian	yes	Krousty Sabaidi	
fast_food	asian	yes	Krousty Sabaïdi	Krousty Sabaïdi
fast_food	asian	yes	Krousty Sabaïdi	Krousty Sabaïdi
fast_food	asian	yes	Krousty Sabaïdi	Krousty Sabaïdi
fast_food	asian	yes	Krousty Sabaïdi	Krousty Sabaïdi
fast_food	asian	yes	Krousty Sabaïdi	Krousty Sabaïdi
fast_food	asian	yes	Krousty Sabaïdi	Krousty Sabaïdi
fast_food	asian	yes	Krousty Sabaïdi	Krousty Sabaïdi
fast_food	asian	yes	Krousty Sabaïdi	Krousty Sabaïdi
fast_food	asian	yes	Kum Po 金賓快餐	
fast_food	asian	yes	La Rose de Chine	
fast_food	asian	yes	Le Bonheur	
fast_food	asian	yes	Le Kiosque	
fast_food	asian	yes	Le Pad Thaï	
fast_food	asian	yes	Le Panda Express	
fast_food	asian	yes	Le Petit Traiteur Pékinois	
fast_food	asian	yes	Les Saveurs	
fast_food	asian	yes	Lucky Bamboo	
fast_food	asian	yes	Maison d'Asie	
fast_food	asian	yes	Maison Zhang	
