amenity	cuisine	takeaway	name	brand
fast_food	burger		ATR	
fast_food	burger		AutoKing	
fast_food	burger		AZ Burger	
fast_food	burger		Bacanal	
fast_food	burger		Bacanal Burguer	
fast_food	burger		Bacoa	
fast_food	burger		Badal	
fast_food	burger		Badgers	
fast_food	burger		Baguettalia	
fast_food	burger		Baka Vieja	
fast_food	burger		Barbacoa	
fast_food	burger		Bar-Burguer Santa Clara	
fast_food	burger		Bar Hamburgueseria La Cantina	
fast_food	burger		Barkada	
fast_food	burger		Bar L'Acherito	
fast_food	burger		Bastardi	
fast_food	burger		BDP	
fast_food	burger		Bea	
fast_food	burger		Beheko Sue	
fast_food	burger		Bé I Bo FOOD	
fast_food	burger		Bemba	
fast_food	burger		Benito Burger	
fast_food	burger		Ben's Burger	
fast_food	burger		Berty's Burguer	
fast_food	burger		Best of the West	
fast_food	burger		Bigger Better Burger	
fast_food	burger		Big Johnson's Burger Joint	
fast_food	burger		Bite House	
fast_food	burger		Black Label	
fast_food	burger;bocadillos;pintxos;hot_dog		Burger Lisboa	
fast_food	burger		Bocados	
fast_food	burger		Bocatería El Fuguita	
fast_food	burger		Bocatería Papo's	
fast_food	burger		Bolus Burguer	
fast_food	burger		Boom Burg	
fast_food	burger		Boston Burguer	
fast_food	burger		BrOker's	
fast_food	burger		Brooklyn&Co	Brooklyn&Co
fast_food	burger;brunch		Sorrybut	
fast_food	burger		Brutale	
fast_food	burger		Bsmash by Dak	
fast_food	burger		Buenos días princesa	
fast_food	burger		Bugs Bunny	
fast_food	burger		Bugs Burguer	
fast_food	burger		BUKUS	
fast_food	burger		Bunga burger	
fast_food	burger		Bunga Burger	
fast_food	burger		Burdo	
fast_food	burger		Burger	
fast_food	burger		Burger 3	
fast_food	burger		Burger Aloha	
fast_food	burger		Burger Cardeña	
fast_food	burger		Burger Chef	
fast_food	burger		Burgerhub	
fast_food	burger		burgerjazz	
fast_food	burger		Burger King	
fast_food	burger		Burger King	
fast_food	burger		Burger King	Burger King
fast_food	burger		Burger Lab	
fast_food	burger		Burger Lab	
fast_food	burger		Burger La Favorita	
fast_food	burger		Burger La Muralla	
fast_food	burger		Burger Master Smash	
fast_food	burger		Burger Ottawa	
fast_food	burger		Burger Ricky	
fast_food	burger		Burgers	
fast_food	burger		Burger Tennesse	
fast_food	burger		Burger Tito Jose	
fast_food	burger		Burger Toki	
fast_food	burger		Burger Valdi	
fast_food	burger		Burger World	
fast_food	burger		Burg o’clock	
fast_food	burger		Burguer Beach	
fast_food	burger		Burguer Boirina	
fast_food	burger		Burguer Chip	
fast_food	burger		Burguer El Castillo	
fast_food	burger		Burguer El Recreo	
fast_food	burger		Burguer El Sur	
fast_food	burger		Burguerjazz	
fast_food	burger		Burguer La Playa	
fast_food	burger		Burguer Paco	
fast_food	burger		Burguer Ril's	
fast_food	burger		Burguer Scooby	
fast_food	burger		Burguer Shop	
fast_food	burger		Burguer Tomás	
fast_food	burger		Burguer Yiyi	
fast_food	burger		Burnout	
fast_food	burger		Butchers	
fast_food	burger		Café Bar El Rincón	
fast_food	burger		Cafetería Florida Bilbao	
fast_food	burger		Cafetería Sarrios	
fast_food	burger;cake;hot_dog		Khambú	
fast_food	burger;cake;sandwich		El Paz	
fast_food	burger		California Street Food	
fast_food	burger		Cal Jordi	
fast_food	burger		Campera	
fast_food	burger		Can Jordi	
fast_food	burger		Carlotto Burger	
fast_food	burger		Carlotto Burguer	
fast_food	burger		Carl’s Jr	
fast_food	burger		Carmela	
fast_food	burger		Casa Paola	
fast_food	burger		Cèntric Frankfurt	
fast_food	burger		Cervecería Hamburguesería ЯUM ЯUM	
fast_food	burger		Charlie comedy	
fast_food	burger;chicken;coffee_shop		Blue Burger	
fast_food	burger;chicken;diner;local;tapas		La Busxeta Pirenaic Food Truck	
fast_food	burger;chicken		Fast Eddie's	
fast_food	burger;chicken;kebab		Hamburguesería Loli	
fast_food	burger;chicken;kebab;pizza		Kebab Andaluz	
fast_food	burger;chicken;kebab	yes	Algemesí kebab	
fast_food	burger;chicken;local;tapas		La Busxeta Pirenaic food truck	
fast_food	burger;chicken	yes	Popeyes	Popeyes
fast_food	burger		Cimarrón	
fast_food	burger		Circo	
fast_food	burger		Circo	
fast_food	burger;coffee_shop;sandwich;salad	yes	Bar Hamburguesería Piscis	
fast_food	burger;coffee_shop;tapas		Hambueysería Amaren	
fast_food	burger		Como Como	
fast_food	burger		Como Como	
fast_food	burger		Como Como	
fast_food	burger		Cowboy	
fast_food	burger		Crack	
fast_food	burger		Crack & Homer	
fast_food	burger		Crazy burguer	
fast_food	burger;crepe;ice_cream;pizza		Deby	
fast_food	burger		D-2	
fast_food	burger		Dagana	
fast_food	burger		Dak Burger	
fast_food	burger		Dasbur	
fast_food	burger		Davasa	
fast_food	burger		Deleito	
fast_food	burger		Delicious Burger	
fast_food	burger		Delirio Burger	
fast_food	burger		Delujo Burgers	
fast_food	burger		Diner	
fast_food	burger		Distrito Burger	
fast_food	burger		Distrito Burger	
fast_food	burger		Distrito Burguer	
fast_food	burger		Divino Pecado	
fast_food	burger		Django's	
fast_food	burger		Docar	
fast_food	burger		Don Mac Burger	
fast_food	burger		Don Oso	
fast_food	burger		Duality	
fast_food	burger		El Barrio	
fast_food	burger		El Boss Burguer	
fast_food	burger		El Bule Burger	
fast_food	burger		El Caldero	
fast_food	burger		El Caney	
fast_food	burger		El Dinámico	
fast_food	burger		El dorado	
fast_food	burger		El Farolillo	
fast_food	burger		El Galgo Smash Burger	
fast_food	burger		El Guanche	
fast_food	burger		El Hogar del Leñador	
fast_food	burger		El Límite	
fast_food	burger		El Museo	
fast_food	burger		El Parche	
fast_food	burger		El Paso	
fast_food	burger		El Pibe	
fast_food	burger		El pollo mas rapido	
fast_food	burger		El Rapid	
fast_food	burger		El rey de las hamburguesas	
fast_food	burger		Entre Pan y Pan	
fast_food	burger		es Cantó	
fast_food	burger		Euro Burger	
fast_food	burger		Fako's	
fast_food	burger		Fanatiko	
fast_food	burger		Fast Food Burger	
fast_food	burger		Fast Good	
fast_food	burger		Fausti Burger	
fast_food	burger		Festin	
fast_food	burger		FFFF	
fast_food	burger		Fitzgerald	
fast_food	burger		Five Guys CC Xanadú	Five Guys
fast_food	burger		Flaco	
fast_food	burger		Flames del Drac	
fast_food	burger		Flipper	
fast_food	burger		Fran	
fast_food	burger		Frankfurt Braulio	
fast_food	burger		Frankfurt's de l'Òstia	
fast_food	burger		Frankfurt Urgell	
fast_food	burger		Frankfurt Xurreria Coll	
fast_food	burger		Frankfurt Yoki	
fast_food	burger;fries		Gofres Reina	
fast_food	burger		García	
fast_food	burger		Gazteka	
fast_food	burger		Glück	
fast_food	burger		Goiko	
fast_food	burger		Goiko	
fast_food	burger		Goiko	
fast_food	burger		Goiko	
fast_food	burger		Goiko	
fast_food	burger		Goiko	
fast_food	burger		Goiko	
fast_food	burger		Goiko	
fast_food	burger		Goiko	
fast_food	burger		Goiko	
fast_food	burger		Goiko Grill	
fast_food	burger		Goiko Grill	
fast_food	burger		Goiko Grill	
fast_food	burger		Goiko Grill	
fast_food	burger		Goiko Grill	
fast_food	burger		Goiko Grill	
fast_food	burger		Goiko Grill	
fast_food	burger		Goiko's	
fast_food	burger		Golden Grill Burguer	
fast_food	burger		Gomdor	
fast_food	burger		Gose	
fast_food	burger		Gose	
fast_food	burger		Gotham City Grill	
fast_food	burger		Gottan Grill Huelin	
fast_food	burger		Green Garden	
fast_food	burger		Green Monkey no solo burgers	
fast_food	burger		Grillaera Burger	
fast_food	burger		Grillaera Burger	
fast_food	burger		Guifer	
fast_food	burger		Gula	
fast_food	burger		Ham!	
fast_food	burger		Ham!	
fast_food	burger		Ham!	
fast_food	burger		Hamburg	
fast_food	burger		Hamburger ST 3 Frankfurt	
fast_food	burger		Hamburgesa Pool	
fast_food	burger		Hamburgesería	
fast_food	burger		Hamburguesa Nostra	
fast_food	burger		Hamburguesa Nostra	
fast_food	burger		Hamburguesa Nostra	
fast_food	burger		Hamburguesería 7+8 La Torre	
fast_food	burger		Hamburguesería Al-Andalus	
fast_food	burger		Hamburguesería Alejandro	
fast_food	burger		Hamburguesería Arenal	
fast_food	burger		Hamburguesería Atípico Sevilla Este	
fast_food	burger		Hamburguesería B-Go	
fast_food	burger		Hamburgueseria Black & White	
fast_food	burger		Hamburguesería-Bocatería EU	
fast_food	burger		Hamburguesería Carletto Salceda	
fast_food	burger		Hamburguesería Chipper	
fast_food	burger		Hamburguesería de Teresa	
fast_food	burger		Hamburguesería El Coco	
fast_food	burger		Hamburguesería El Faro	
fast_food	burger		Hamburguesería El Fielato	
fast_food	burger		Hamburguesería Frankie Burgers - Alcalá de Henares	
fast_food	burger		Hamburguesería Frankie Burgers | Espronceda Madrid	
fast_food	burger		Hamburguesería Gigantes	
fast_food	burger		Hamburguesería GOIKO Grill	
fast_food	burger		Hamburguesería Hnos. Peña	
fast_food	burger		Hamburguesería Jesús	
fast_food	burger		Hamburgueseria Jose's	
fast_food	burger		Hamburgueseria Kaiser	
fast_food	burger		Hamburguesería La Cueva	
fast_food	burger		Hamburguesería La Gordita	
fast_food	burger		Hamburguesería La Muralla	
fast_food	burger		Hamburguesería La Pepa	
fast_food	burger		Hamburguesería Las Dunas	
fast_food	burger		Hamburguesería La Tradicional	
fast_food	burger		Hamburguesería Maragall	
fast_food	burger		Hamburguesería Mario	
fast_food	burger		Hamburguesería Mis Niños	
fast_food	burger		Hamburguesería Pacheco	
fast_food	burger		Hamburguesería Paco	
fast_food	burger		Hamburguesería Papacho's	
fast_food	burger		Hamburgueseria Pibes	
fast_food	burger		Hamburguesería Pollería Tariq	
fast_food	burger		Hamburguesería Salvador	
fast_food	burger		Hamburguesería "Sol"	
fast_food	burger		Hamburguesería Tubular	
fast_food	burger		Hammbur	
fast_food	burger		Hangar 218	
fast_food	burger		Harlem	
fast_food	burger		Harley-Davidson Zaragoza	Harley-Davidson
fast_food	burger		Harley's Burger	
fast_food	burger		Holly Burguer	
fast_food	burger		Honey Burger	
fast_food	burger		Hot Chilli Grill	
fast_food	burger;hot_dog		Hamburguesería Rosymar	
fast_food	burger;hot_dog;pizza;spanish;coffee_shop;tapas		Cervecería +Rico	
fast_food	burger;hotdog		Rober's	
fast_food	burger;hotdog;sandwich		Hamburgueseria Aguinaco	
fast_food	burger;hotdog;sandwich	yes	Frankfurt's	
fast_food	burger		Hype	
fast_food	burger		Hype	
fast_food	burger		Hype	
fast_food	burger		hype burger bar	
fast_food	burger		Hype Burger Bar	
fast_food	burger		Hype Burger Bar	
fast_food	burger		Hype Hamburguesas Alcobendas	
fast_food	burger		Ibèric	
fast_food	burger;ice_cream		Vacanal Jubany	
fast_food	burger;ice_cream	yes	Burger King	Burger King
fast_food	burger		Iguana Café	
fast_food	burger		Ikai	
fast_food	burger		IKAI Hamburgesak	
fast_food	burger		Indiana Bill	
fast_food	burger;international		Los Panas	
fast_food	burger		Irons	
fast_food	burger		Iruña burger	
fast_food	burger		Istrish	
fast_food	burger;italian;coffee_shop;sandwich;chicken;ice_cream	yes	Hamburguesería Beiramar	
fast_food	burger;italian;pizza		Telepizza Ezequiel Solana	
fast_food	burger		Izokin	
fast_food	burger		Jack's smash burgers	
fast_food	burger		Jaleo Burguer & Tapeo	
fast_food	burger		Javs	
fast_food	burger		JCA Burguer	
fast_food	burger		Joey's Burger	
